date,ADA-USD,BNB-USD,BTC-USD,BUSD-USD,DOGE-USD,DOT-USD,ETH-USD,LTC-USD,MATIC-USD,SHIB-USD,SOL-USD,TRX-USD,USDC-USD,USDT-USD,XRP-USD,ada_usd_0,bnb_usd_0,btc_usd_0,busd_usd_0,doge_usd_0,dot_usd_0,eth_usd_0,ltc_usd_0,matic_usd_0,shib_usd_0,sol_usd_0,trx_usd_0,usdc_usd_0,usdt_usd_0,xrp_usd_0,Crude Oil,Gold,S&P 500,13 Week Treasury Bill,RSI,MACD,MACD_Signal,MACD_Histogram,%K,%D
1/3/2022,-4.146008031,-3.691857403,-1.89146367,-0.01980728,-2.50527855,1.249872948,-1.796519442,-1.864411867,-4.679366018,-2.985297288,-3.510853226,-0.905316459,-0.005699706,-0.029495082,-3.101065411,1.370418,1.133329,1.246844,-0.0183875,1.940968,2.861066,2.267243,1.751093,0.435042,-0.1012734,2.163561,-0.8726079,0.0309856,-0.00393632,0.7009504,1.150125364,-1.549562307,0.635382417,47.37843457,0.0,0.0,0.0,0.0,0.0,0.0
1/4/2022,-0.757914109,-0.90814506,-1.213893466,-0.011411395,-0.758351738,-4.509275675,0.86497904,-1.117148868,-2.725389523,-3.0771669,-1.394809933,-1.149537172,0.087683476,0.004302653,-0.990866926,-0.5518754,1.338097,0.4720535,-0.0606479,1.221986,0.5195439,1.078229,0.3681233,-0.4578101,0.0204287,0.4971962,-0.5376407,0.00355114,0.00256682,0.0232901,1.189007324,0.808106212,-0.062982025,41.17347106,0.0,0.0,0.0,0.0,0.0,0.0
1/5/2022,-5.941005313,-6.607405473,-5.206628845,0.192173524,-5.719017274,-7.134398453,-6.637919922,-7.584490582,-7.532965341,-6.453854387,-7.953190677,-6.531572373,-0.082782663,-0.008605491,-6.295267442,-3.183187,-2.098628,-2.471051,0.0152301,-3.166073,-3.230979,-3.136244,-3.056445,-4.148056,-3.075175,-4.014484,-1.175986,0.00124584,-0.00922469,-2.541183,1.110836314,0.582641986,-1.95832643,6.062465469,0.0,0.0,0.0,0.0,0.0,0.0
1/6/2022,3.480784374,-0.375679111,-0.94102973,0.048835264,0.496192034,-0.131890898,-3.788159614,0.304243565,2.487839948,3.278983456,-3.056150004,-0.378966009,-0.019706065,0.007306371,0.898383698,0.8295617,-0.3579815,0.1222913,-0.00323587,0.4828343,1.609076,0.5147334,0.5110273,0.1994404,-0.4866651,0.1203472,-0.4581653,0.00246325,-0.00245971,0.3366031,2.046986018,-1.987169983,-0.096423374,5.715844306,0.0,0.0,0.0,0.0,0.0,0.0
1/7/2022,-5.47917258,-5.535690762,-3.784798865,-0.192681834,-3.293068783,-7.105803619,-6.814818392,-3.743332898,-9.157242895,-6.669133606,-9.789444263,-4.289715265,0.091694098,0.005696931,-2.366311603,-0.6415407,-0.4147662,-0.6033087,0.00354453,-0.4971267,-1.037926,-0.9520721,-0.6479245,-0.9182695,-0.2994773,-0.4168173,-0.4097065,-0.00119367,0.0019258,-0.5808714,-0.707249167,0.462953608,-0.405844108,-2.247290101,0.0,0.0,0.0,0.0,0.0,0.0
1/8/2022,-2.003767358,-3.996348613,0.422704833,0.038713896,-1.99956402,-3.661412324,-3.221753382,-1.032756509,-2.862941535,-3.509133101,4.38240431,-3.592515928,-0.096494499,-0.015494504,-2.036921446,0.0161697,0.0498256,0.0287178,-0.00176186,0.0548135,0.1162853,0.0760015,0.1146931,0.0812736,-0.00184926,-0.0957985,0.0899834,0.000646503,-0.000685571,0.1332795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/9/2022,-1.156297136,1.9693227,0.424793521,0.076560964,-0.586755893,2.458956494,2.105092526,0.888057792,5.822471836,0.0,-1.181901305,0.825823603,0.032411651,0.015995055,0.907610425,-0.00522766,-0.015483,-0.0140662,0.000914436,-0.0270758,-0.0180775,-0.0173219,-0.00724384,-0.00810433,-0.048406,0.0158298,-0.028209,-0.000198782,-5.82e-05,-0.0275605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/10/2022,-3.980517662,-3.211738727,-0.215781177,0.124624255,-5.235824135,-3.500896227,-2.392530925,-3.459426256,-2.088103165,-3.63676562,-3.529391291,-4.16289969,0.054490615,-0.007603888,-2.031074258,-0.494494,-0.1519847,-0.2822708,-0.00248614,-0.2963043,-0.4574047,-0.3832963,-0.2651663,-0.4118163,-0.3620012,-0.4526082,-0.2583292,0.00119587,9.76e-05,-0.2816311,-0.852799858,0.077878649,-0.144207054,2.247290101,0.0,0.0,0.0,0.0,0.0,0.0
1/11/2022,4.93433265,8.691255156,2.163341064,-0.246100454,6.769039429,7.155231056,4.905540851,3.647111002,12.89475929,3.63676562,3.063128469,2.130835674,-0.016493642,0.018102976,4.135861036,1.480854,2.348435,1.923572,-0.0452574,2.179658,2.314641,2.885097,1.846063,2.246216,1.826724,1.966598,0.9877675,0.0122438,-0.00082951,1.614262,3.750828868,1.116956659,0.911828645,27.08749205,0.0,0.0,0.0,0.0,0.0,0.0
1/12/2022,9.601110498,4.943346124,2.799390725,0.011406589,5.240346275,6.720080522,4.059232704,7.462575524,1.501057399,13.35313764,7.897058758,4.706234751,-0.041699097,-0.007197894,3.693678626,0.6687271,0.339059,0.5374785,0.0163497,0.3800485,0.363721,0.6631251,0.1304935,0.3652611,0.5770315,0.7212992,0.6843562,-0.00682153,-0.000901044,0.1581224,1.733228014,0.471775287,0.281379201,-2.575248402,0.0,0.0,0.0,0.0,0.0,0.0
